C3-ID,Container (C2-ID),Component Name,Responsibilities,Key Inputs,Key Outputs,Interfaces/Protocols,Data Store,Status/Notes
C3-06.04,C2-06,Federation Client,Connect to federation bus; emit signals.,Local signals,HubSignal events,Event bus,-,Stable
C3-06.05,C2-06,Health Monitor,Emit health/telemetry signals.,Metrics; heartbeats,Status events,Event bus,-,Stable
C3-07.01,C2-07,KPI Aggregator,Aggregate KPIs by member/project/hub.,Event streams,KPI tables,Stream processor,Metrics-DB,Core
C3-07.02,C2-07,SRI Engine,Compute Systemic Resonance Index.,Resonance; alignment; decay,SRI values,In-proc,Metrics-DB,Core
C3-07.03,C2-07,Feature Store,Persist features for analytics/ML.,Aggregated metrics,Feature vectors,Batch/online store,Feature-DB,Stable
C3-07.04,C2-07,Stream Ingest,Ingest events from services.,Domain events,Normalized streams,Kafka/NATS connectors,-,Stable
C3-07.05,C2-07,Dashboard Feed,Serve real-time feeds to UI.,Metrics queries,Live feed,Websocket/GraphQL,-,Stable
C3-08.01,C2-08,Alignment Evaluator,Score alignment against Manifesto rubrics.,Contribution metadata; KG context,Alignment score; flags,REST,-,Core
C3-08.02,C2-08,Rubric Manager,Version and manage ethics rubrics.,Admin inputs,Rubric versions,REST,Ethics-DB,Stable
C3-08.03,C2-08,Ethics Policy Engine,Apply allow/deny filters and constraints.,Requests from PoC/GOV,Preflight/approval decision,In-proc,-,Core
C3-08.04,C2-08,Attestation Issuer,Issue alignment attestations to PoCI.,Alignment decisions,Attestation records,REST to C2-05,-,Planned
C3-08.05,C2-08,Appeals Handler,Manage appeals and re-evaluation.,Appeal requests,Appeal outcomes,Workflow,Ethics-DB,Planned
C3-09.01,C2-09,Ontology Manager,Manage schema/ontology for the graph.,Model updates,Ontology versions,Admin/API,KG-Store,Core
C3-09.02,C2-09,Graph Ingest Pipeline,Ingest & normalize knowledge artifacts.,Docs; datasets; events,Graph nodes/edges,Pipelines,KG-Store,Core
C3-09.03,C2-09,Embedding Generator,Create embeddings for search/RAG.,Text/artifacts,Vector embeddings,Batch/online workers,Vector-DB,Stable
C3-09.04,C2-09,RAG Orchestrator,Coordinate retrieval-augmented generation.,Queries; context,Structured answers,GraphQL/HTTP,-,Stable
C3-09.05,C2-09,Synthesis Engine,Summarize & synthesize insights.,Graph data; metrics,Reports; narratives,Workers,KG-Store,Planned
C3-10.01,C2-10,Ledger Monitor,Verify integrity & reconcile ledgers.,Ledger snapshots,Integrity events,Batch/streams,Audit-DB,Core
C3-10.02,C2-10,SIEM Collector,Collect logs/telemetry across services.,Logs; metrics,Normalized security events,SIEM protocols,SIEM-Store,Core
C3-10.03,C2-10,Anomaly Detection,Detect threats & fraud patterns.,Security events,Alerts,ML/Rules engine,-,Stable
C3-10.04,C2-10,Risk Scoring,Compute risk scores by service/project.,Signals,Risk scores,In-proc,-,Planned
C3-10.05,C2-10,Incident Response,Coordinate detection→containment→disclosure.,Alerts; reports,IR workflows,Runbooks; tickets,IR-DB,Prototype
C3-10.06,C2-10,Transparency Reporter,Publish public audit bundles.,Audit artifacts,Reports / proofs,Static site / IPFS,-,Planned
C3-11.01,C2-11,Smart Router,Route/compose requests to services.,Incoming API calls,Composed responses,REST/gRPC,-,Core
C3-11.02,C2-11,GraphQL Federation,Unify schemas and federate graphs.,Service schemas,GraphQL API,GraphQL,-,Stable
C3-11.03,C2-11,Auth Hub,"AuthN/Z, keys, roles, scopes.",Requests; tokens,Allow/deny; tokens,OIDC/JWT,-,Core
C3-11.04,C2-11,Rate & Quota Manager,Enforce limits; protect backends.,Request metadata,Throttle decisions,In-proc,-,Stable
C3-11.05,C2-11,Schema Guard,Validate payloads & versioning.,Requests,Validation result,JSON-Schema,-,Stable
C3-11.06,C2-11,Telemetry,Collect API metrics & traces.,Gateway events,Telemetry stream,OTLP,-,Stable
C3-11.07,C2-11,Developer Portal,"Docs, keys, usage analytics for devs.",Admin/dev input,Keys; docs; dashboards,Web UI,Gateway-DB,Planned
C3-12.01,C2-12,Dashboard Renderer,Render dashboards and widgets.,UI queries,Charts; pages,Web UI,-,Core
C3-12.02,C2-12,Stream Client,Consume realtime metric streams.,Websocket feeds,Live updates,WebSocket/SSE,-,Stable
C3-12.03,C2-12,Identity/Wallet Adapter,Handle PoCI auth & signatures.,User actions,Signed requests,Wallet APIs/OIDC,-,Stable
C3-12.04,C2-12,Workbenches,Admin/member tools for projects & governance.,User workflows,Actions; exports,Web UI,-,Planned
C3-12.05,C2-12,Accessibility & i18n,Accessibility and localization services.,UI texts,Localized UI,Web UI,-,Stable
